class
A61
A01
G05
G01
G06
H04
B65
B60
B62
F02
B05
A47
F04
F21
E02
C12
F16
B01
E01
C07
C05
A23
C08
C09
A21
A22
B02
H05
F25
B29
B33
A24
D04
H01
H02
F22
A41
D03
G08
A63
B32
A42
A62
A45
A43
G09
B44
A44
E05
A46
E04
F41
G03
F24
G07
B42
C23
B23
B25
B26
G02
G10
C10
C11
B82
B08
C02
C04
B28
B41
D01
B22
G21
F01
C01
B24
B64
B03
B07
C22
B04
D06
B21
C21
F28
F27
C25
B27
B30
F26
C03
B81
E06
H03
D21
B43
F15
B66
F17
B61
B63
B31
E21
B67
E03
F23
C40
G11
B09
C30
D02
D07
C13
F03
F42
B06
G04
C06
D05
G16
